title,artist,album,isrc,upc,spotify_url,local_path,filename
Hip Full of Clips 808 Drill Beat,Excavationpro,Done,QZ-S64-23-58117,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\Hip Full of Clips 808 Drill Beat QZS642358117.wav,Hip Full of Clips 808 Drill Beat QZS642358117.wav
Hidden,Excavationpro,Instrumentals,QZ-S64-23-73732,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Hidden QZS642373732.wav,Hidden QZS642373732.wav
Hoodie Hype,Excavationpro,Instrumentals,QZ-S64-23-77052,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\24\Instrumentals\Hoodie Hype QZS642377052.wav,Hoodie Hype QZS642377052.wav
Lightning Strikes,Excavationpro,Done,QZ-S64-23-80330,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\Done\Lightning Strikes QZS642380330.wav,Lightning Strikes QZS642380330.wav
Fresh Air,Excavationpro,Done,QZ-S64-23-84175,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\25\instrumental\Done\Fresh Air QZS642384175.wav,Fresh Air QZS642384175.wav
Lost in Memories,Excavationpro,instrumentals,QZ-S64-23-90280,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\22\instrumentals\Lost in Memories QZS642390280.wav,Lost in Memories QZS642390280.wav
Ocean Deep,Excavationpro,Instrumentals,QZ-S64-23-95547,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\27\Instrumentals\Ocean Deep QZS642395547.wav,Ocean Deep QZS642395547.wav
Sorrow,Excavationpro,Done,QZ-S64-24-00833,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\New folder\Done\Sorrow QZS642400833.wav,Sorrow QZS642400833.wav
Diamond,Excavationpro,Done,QZ-S64-24-12365,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\8\Done\Diamond QZS642412365.wav,Diamond QZS642412365.wav
On Your Block Open Verse Remix,Excavationpro,Done,QZ-S64-24-16131,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\15\Done\On Your Block Open Verse Remix QZS642416131.wav,On Your Block Open Verse Remix QZS642416131.wav
